"","titulo","relator","data_de_publicacao","data_de_julgamento","orgao_julgador","ementa","base"
"154","AI 737055 AgR","ROBERTO BARROSO","05/09/2016","09/08/2016","Primeira Turma","Ementa: DIREITO TRIBUTÁRIO. AGRAVO REGIMENTAL EM AGRAVO DE INSTRUMENTO. AGRAVO REGIMENTAL QUE NÃO ATACA OS FUNDAMENTOS DA DECISÃO AGRAVADA. CONTRIBUIÇÃO PARA O PIS. ENTIDADE DE PREVIDÊNCIA FECHADA. AUSÊNCIA DE FINS LUCRATIVOS. TRIBUTAÇÃO POR REGIME ESPECIAL. NATUREZA DA ENTIDADE PARA FNS DE APLICAÇÃO DA LEGISLAÇÃO DE REGÊNCIA. CARÁTER INFRACONSTITUCIONAL DA CONTROVÉRSIA. SÚMULA 279/STF. PRECEDENTES.    1. A petição de agravo regimental não impugnou o fundamento da decisão agravada. Nesse caso, é inadmissível o agravo, conforme orientação do Supremo Tribunal Federal. Precedentes    2. Nos termos da jurisprudência da Corte, não há repercussão constitucional imediata da controvérsia sobre a natureza da entidade para fins de eleição de legislação infraconstitucional aplicável.     3. Agravo regimental a que se nega provimento.","eleicao"
"155","ARE 1330808 AgR","DIAS TOFFOLI","08/06/2022","23/05/2022","Primeira Turma","EMENTA    Agravo regimental em recurso extraordinário com agravo. Direito Eleitoral. Eleições de 2016. Prestação de contas. Matéria constitucional. Ausência de prequestionamento. Ofensa meramente reflexa ao texto constitucional. Súmula nº 636/STF. Fundamentos não infirmados. Não provimento.    1. Conforme declinado na decisão guerreada, as questões constitucionais suscitadas no apelo extremo carecem do necessário prequestionamento (Súmulas nºs 282 e 356/STF).    2. Por outro lado, dissentir das conclusões do acórdão recorrido quanto às despesas passíveis de serem examinadas nas prestações de contas partidárias demandaria a interpretação da legislação infraconstitucional, notadamente as Leis nºs 9.096/95 e 9.504/97 (Súmula nº 636/STF).    3. Nesse contexto, eventual ofensa à Carta Política, portanto, caso existente, seria meramente reflexa, o que não autoriza a abertura da via recursal extraordinária.    4. Agravo regimental não provido.","eleicao"
"156","RE 976566","ALEXANDRE DE MORAES","26/09/2019","13/09/2019","Tribunal Pleno","Ementa: CONSTITUCIONAL. AUTONOMIA DE INSTÂNCIAS. POSSIBILIDADE DE RESPONSABILIZAÇÃO PENAL E POLÍTICA ADMINISTRATIVA (DL 201/1967) SIMULTÂNEA À POR ATO DE IMPROBIDADE ADMINISTRATIVA, DEVIDAMENTE TIPIFICADO NA LEI 8.429/92. INEXISTÊNCIA DE BIS IN IDEM.    1. ""Fazem muito mal à República os políticos corruptos, pois não apenas se impregnam de vícios eles mesmos, mas os infundem na sociedade, e não apenas a prejudicam por se corromperem, mas também porque a corrompem, e são mais nocivos pelo exemplo do que pelo crime” (MARCO TÚLIO CÍCERO. Manual do candidato às eleições. As leis, III, XIV, 32).    2. A norma constitucional prevista no § 4º do art. 37 exigiu tratamentos sancionatórios diferenciados entre os atos ilícitos em geral (civis, penais e político-administrativos) e os atos de improbidade administrativa, com determinação expressa ao Congresso Nacional para edição de lei específica (Lei 8.429/1992), que não punisse a mera ilegalidade, mas sim a conduta ilegal ou imoral do agente público voltada para a corrupção, e a de todo aquele que o auxilie, no intuito de prevenir a corrosão da máquina burocrática do Estado e de evitar o perigo de uma administração corrupta caracterizada pelo descrédito e pela ineficiência.    3. A Constituição Federal inovou no campo civil para punir mais severamente o agente público corrupto, que se utiliza do cargo ou de funções públicas para enriquecer ou causar prejuízo ao erário, desrespeitando a legalidade e moralidade administrativas, independentemente das já existentes responsabilidades penal e político-administrativa de Prefeitos e Vereadores.    4. Consagração da autonomia de instâncias. Independentemente de as condutas dos Prefeitos e Vereadores serem tipificadas como infração penal (artigo 1º) ou infração político-administrativa (artigo 4º), previstas no DL 201/67, a responsabilidade civil por ato de improbidade administrativa é autônoma e deve ser apurada em instância diversa.    5. NEGADO PROVIMENTO ao Recurso Extraordinário. TESE DE REPERCUSÃO GERAL: “O processo e julgamento de prefeito municipal por crime de responsabilidade (Decreto-lei 201/67) não impede sua responsabilização por atos de improbidade administrativa previstos na Lei 8.429/1992, em virtude da autonomia das instâncias”.","eleicao"
"157","MS 25118","SEPÚLVEDA PERTENCE","19/08/2005","16/06/2005","Tribunal Pleno","EMENTA: Mandado de segurança: Justiça Federal: lista tríplice depromoção por merecimento de juízes ao Tribunal Regional Federal da2ª Região: validade.1. Fragilidade da inquinação deirregularidades objetivas atinentes à seqüência das publicações e da votação discutidas, a que se soma a inexistência, sequer em tese,de direito subjetivo próprio das impetrantes, carência não supridapela invocação de um suposto e abstrato ""direito líquido e certo(...) de participarem de processos legais e transparentes"".2. No tópico alusivo à fixação em onze votos do quorum de maioriaabsoluta para a eleição dos integrantes da lista tríplice, dada aexcepcionalidade da situação de fato, correta a redução a 21 donúmero total da composição efetiva do Tribunal, tomando-o como basede cálculo da maioria absoluta de votos para a eleição dosintegrantes da lista tríplice a compor.3. Ainda, porém, queassim não fosse e se devesse partir da composição legal do Tribunal- de 27 membros - não obstante as três vagas existentes, ou de 24,não obstante a suspensão de 3 juízes, válida a inclusão na listatríplice dos juízes que, então, não teriam logrado maioria absoluta: ajusta-se efetivamente a solução aventada à decisão do STF no MS24.509 (Pleno, Pertence, DJ 26/03/2004) no que nela se assentou quea exigência da maioria  absoluta, não derivando da Constituição, nem da LOMAN, mas do Regimento Interno, pode ser temperada por outranorma regimental, de modo a solver a eventualidade do impasse.","eleicao"
"158","ADI 718","SEPÚLVEDA PERTENCE","18/12/1998","05/11/1998","Tribunal Pleno","EMENTA: I. Município: criação em ano de eleiçõesmunicipais: não incidência do art. 16 da Constituição Federal.No contexto normativo do art. 16, CF - que impõe a vacatiode um ano às leis que o alterem -, processo eleitoral é parte de umsistema de normas mais extenso, o Direito Eleitoral, matériareservada privativamente à competência legislativa da União; logo,no sistema da Constituição de 1988 - onde as normas gerais de alçadacomplementar, e a lei específica de criação de municípios foiconfiada aos Estados -, o exercício dessa competência estadualexplícita manifestamente não altera o processo eleitoral, que écoisa diversa e integralmente da competência legislativa federal.II. Ação direta de inconstitucionalidade: superveniênciade alteração constitucional: matéria insusceptível de exame noprocesso.Firmado no STF não poder ser objeto de ação direta deinconstitucionalidade a incompatibilidade entre a lei e a normaconstitucional superveniente - que se reduziria, segundo oentendimento vitorioso, a mera revogação (ADIn 2, Brossard) -, nãocaber examinar os reflexos no processo de criação dos municípiosquestionado do advento da EC 15/96, limitando a decisão à afirmativade inexistência da argüida inconstitucionalidade originária das leisimpugnadas.","eleicao"
"159","RE 105082 ED","NÉRI DA SILVEIRA","21/06/1985","13/06/1985","Tribunal Pleno","Embargos de Declaração. Recurso extraordinário conhecido e provido, para deferir o mandado de segurança e anular eleições em Tribunal, por ofensa ao art. 102, da Lei Orgânica da Magistratura Nacional, reconhecendo aos impetrantes a condição de únicos candidatos elegíveis aos cargos de Vice-Presidente e Corregedor-Geral da Justiça. Inexistência de dúvida, contradição, obscuridade ou omissão, no acórdão. É estranha à controvérsia decidida a questão relativa à validade, ou não, dos atos praticados pelos Desembargadores, eleitos ilegitimamente, cuja investidura foi anulada. Embargos declaratórios rejeitados, determinando-se o imediato cumprimento do acórdão com a realização de nova eleição, sendo os impetrantes os únicos elegíveis a Vice-Presidente e Corregedor-Geral da Justiça do Estado, no caso concreto.","eleicao"
"160","RE 213524","MARCO AURÉLIO","11/02/2000","19/10/1999","Segunda Turma","SUBSÍDIOS - VEREADORES. Longe fica de conflitar com aCarta da República acórdão em que assentada a insubsistência de atoda Câmara Municipal, formalizado após a divulgação dos resultados daeleição, no sentido de redução substancial dos subsídios dosvereadores, afastando o patamar de vinte e cinco por cento do quepercebido por deputado estadual e instituindo quantia igual a quinzevezes o valor do salário mínimo.","eleicao"
"161","MS 26600","CÁRMEN LÚCIA","30/04/2009","19/11/2007","Tribunal Pleno","EMENTA: MANDADO DE SEGURANÇA PREVENTIVO PARA SUSPENDER TRAMITAÇÃO   DO PROJETO DE RESOLUÇÃO DO CONGRESSO NACIONAL N. 3/2007;   REPRESENTAÇÃO BRASILEIRA NO PARLAMENTO DO MERCOSUL. APROVAÇÃO DO   PROJETO, NO CURSO DA AÇÃO RESOLUÇÃO N. 1/2007.1. A posse dos   Impetrantes, ex-deputados federais, não eleitos (legislatura   2003-2007), como membros da Comissão Parlamentar Conjunta do   Mercosul foi em ato de constituição simbólica daquele órgão;   dependência do resultado das novas eleições. Ausência de   legitimidade ativa.2. Inexistência de direito adquirido.   Inviabilidade de designação de parlamentares sem mandato eletivo   para representar o Brasil no Parlamento do Mercosul.3. Ato   normativo geral e abstrato que não pode ser apreciado pela via do   mandado de segurança. Súmula 266 do Supremo Tribunal   Federal.4. Mandado de segurança não conhecido.","eleicao"
"162","HC 128840 AgR","ROBERTO BARROSO","31/08/2015","04/08/2015","Primeira Turma","Ementa: DIREITO PENAL. TRÁFICO DE DROGAS. CRACK. DOSIMETRIA DA PENA. CONDENAÇÃO TRANSITADA EM JULGADO. AGRAVO REGIMENTAL EM HABEAS CORPUS IMPETRADO CONTRA DECISÃO MONOCRÁTICA. RECURSO A QUE SE NEGA PROVIMENTO.     1. Inexistindo pronunciamento colegiado do Superior Tribunal de Justiça, não compete ao Supremo Tribunal Federal examinar a questão de direito implicada na impetração. Da mesma forma, não é admissível a utilização do habeas corpus em substituição à ação de revisão criminal.     2. A quantidade e a natureza da droga, se não analisadas na primeira fase da dosimetria da pena, constituem fundamentos para a eleição do percentual de diminuição de pena decorrente da incidência do art. 33, § 4º, da Lei nº 11.343/2006. Precedentes do Plenário do Supremo Tribunal Federal.     3. Agravo regimental a que se nega provimento.","eleicao"
"163","ADI 4650","LUIZ FUX","24/02/2016","17/09/2015","Tribunal Pleno","Ementa: DIREITO CONSTITUCIONAL E ELEITORAL. MODELO NORMATIVO VIGENTE DE FINANCIAMENTO DE CAMPANHAS ELEITORAIS. LEI DAS ELEIÇÕES, ARTS. 23, §1º, INCISOS I e II, 24 e 81, CAPUT e § 1º. LEI ORGÂNICA DOS PARTIDOS POLÍTICOS, ARTS. 31, 38, INCISO III, e 39, CAPUT e §5º. CRITÉRIOS DE DOAÇÕES PARA PESSOAS JURÍDICAS E NATURAIS E PARA O USO DE RECURSOS PRÓPRIOS PELOS CANDIDATOS. PRELIMINARES. IMPOSSIBILIDADE JURÍDICA DO PEDIDO. REJEIÇÃO. PEDIDOS DE DECLARAÇÃO PARCIAL DE INCONSTITUCIONALIDADE SEM REDUÇÃO DE TEXTO (ITENS E.1.e E.2). SENTENÇA DE PERFIL ADITIVO (ITEM E.5). TÉCNICA DE DECISÃO AMPLAMENTE UTILIZADA POR CORTES CONSTITUCIONAIS. ATUAÇÃO NORMATIVA SUBSIDIÁRIA E EXCEPCIONAL DO TRIBUNAL SUPERIOR ELEITORAL, SOMENTE SE LEGITIMANDO EM CASO DE INERTIA DELIBERANDI DO CONGRESSO NACIONAL PARA REGULAR A MATÉRIA APÓS O TRANSCURSO DE PRAZO RAZOÁVEL (IN CASU, DE DEZOITO MESES). INADEQUAÇÃO DA VIA ELEITA. IMPROCEDÊNCIA. PRETENSÕES QUE VEICULAM ULTRAJE À LEI FUNDAMENTAL POR AÇÃO, E NÃO POR OMISSÃO. MÉRITO. OFENSA AOS PRINCÍPIOS FUNDAMENTAIS DEMOCRÁTICO E DA IGUALDADE POLÍTICA. CUMULAÇÃO DE PEDIDOS DE ADI E DE ADI POR OMISSÃO EM UMA ÚNICA DEMANDA DE CONTROLE CONCENTRADO DE CONSTITUCIONALIDADE. VIABILIDADE PROCESSUAL. PREMISSAS TEÓRICAS. POSTURA PARTICULARISTA E EXPANSIVA DA SUPREMA CORTE NA SALVAGUARDA DOS PRESSUPOSTOS DEMOCRÁTICOS. SENSIBILIDADE DA MATÉRIA, AFETA QUE É AO PROCESSO POLÍTICO-ELEITORAL. AUTOINTERESSE DOS AGENTES POLÍTICOS. AUSÊNCIA DE MODELO CONSTITUCIONAL CERRADO DE FINANCIAMENTO DE CAMPANHAS. CONSTITUIÇÃO-MOLDURA. NORMAS FUNDAMENTAIS LIMITADORAS DA DISCRICIONARIEDADE LEGISLATIVA. PRONUNCIAMENTO DO SUPREMO TRIBUNAL FEDERAL QUE NÃO ENCERRA O DEBATE CONSTITUCIONAL EM SENTIDO AMPLO. DIÁLOGOS INSTITUCIONAIS. ÚLTIMA PALAVRA PROVISÓRIA. MÉRITO. DOAÇÃO POR PESSOAS JURÍDICAS. INCONSTITUCIONALIDADE DOS LIMITES PREVISTOS NA LEGISLAÇÃO (2% DO FATURAMENTO BRUTO DO ANO ANTERIOR À ELEIÇÃO). VIOLAÇÃO AOS PRINCÍPIOS DEMOCRÁTICO E DA IGUALDADE POLÍTICA. CAPTURA DO PROCESSO POLÍTICO PELO PODER ECONÔMICO. “PLUTOCRATIZAÇÃO” DO PRÉLIO ELEITORAL. LIMITES DE DOAÇÃO POR NATURAIS E USO DE RECURSOS PRÓPRIOS PELOS CANDIDATOS. COMPATIBILIDADE MATERIAL COM OS CÂNONES DEMOCRÁTICO, REPUBLICANO E DA IGUALDADE POLÍTICA. AÇÃO DIRETA DE INCONSTITUCIONALIDADE JULGADA PARCIALMENTE PROCEDENTE.    1. A postura particularista do Supremo Tribunal Federal, no exercício da judicial review, é medida que se impõe nas hipóteses de salvaguarda das condições de funcionamento das instituições democráticas, de sorte (i) a corrigir as patologias que desvirtuem o sistema representativo, máxime quando obstruam as vias de expressão e os canais de participação política, e (ii) a proteger os interesses e direitos dos grupos políticos minoritários, cujas demandas dificilmente encontram eco nas deliberações majoritárias.    2. O funcionamento do processo político-eleitoral, conquanto matéria deveras sensível, impõe uma postura mais expansiva e particularista por parte do Supremo Tribunal Federal, em detrimento de opções mais deferentes e formalistas, sobre as escolhas políticas exercidas pelas maiorias no seio do Parlamento, instância, por excelência, vocacionada à tomada de decisão de primeira ordem sobre a matéria.     3. A Constituição da República, a despeito de não ter estabelecido um modelo normativo pré-pronto e cerrado de financiamento de campanhas, forneceu uma moldura que traça limites à discricionariedade legislativa, com a positivação de normas fundamentais (e.g., princípio democrático, o pluralismo político ou a isonomia política), que norteiam o processo político, e que, desse modo, reduzem, em alguma extensão, o espaço de liberdade do legislador ordinário na elaboração de critérios para as doações e contribuições a candidatos e partidos políticos.     4. O hodierno marco teórico dos diálogos constitucionais repudia a adoção de concepções juriscêntricas no campo da hermenêutica constitucional, na medida em que preconiza, descritiva e normativamente, a inexistência de instituição detentora do monopólio do sentido e do alcance das disposições magnas, além de atrair a gramática constitucional para outros fóruns de discussão, que não as Cortes.    5. O desenho institucional erigido pelo constituinte de 1988, mercê de outorgar à Suprema Corte a tarefa da guarda precípua da Lei Fundamental, não erigiu um sistema de supremacia judicial em sentido material (ou definitiva), de maneira que seus pronunciamentos judiciais devem ser compreendidos como última palavra provisória, vinculando formalmente as partes do processo e finalizando uma rodada deliberativa acerca da temática, sem, em consequência, fossilizar o conteúdo constitucional.    6. A formulação de um modelo constitucionalmente adequado de financiamento de campanhas impõe um pronunciamento da Corte destinado a abrir os canais de diálogo com os demais atores políticos (Poder Legislativo, Executivo e entidades da sociedade civil).    7. Os limites previstos pela legislação de regência para a doação de pessoas jurídicas para as campanhas eleitorais se afigura assaz insuficiente a coibir, ou, ao menos, amainar, a captura do político pelo poder econômico, de maneira a criar indesejada “plutocratização” do processo político.    8. O princípio da liberdade de expressão assume, no aspecto político, uma dimensão instrumental ou acessória, no sentido de estimular a ampliação do debate público, de sorte a permitir que os indivíduos tomem contato com diferentes plataformas e projetos políticos.    9. A doação por pessoas jurídicas a campanhas eleitorais, antes de refletir eventuais preferências políticas, denota um agir estratégico destes grandes doadores, no afã de estreitar suas relações com o poder público, em pactos, muitas vezes, desprovidos de espírito republicano.    10. O telos subjacente ao art. 24, da Lei das Eleições, que elenca um rol de entidades da sociedade civil que estão proibidas de financiarem campanhas eleitorais, destina-se a bloquear a formação de relações e alianças promíscuas e não republicanas entre aludidas instituições e o Poder Público, de maneira que a não extensão desses mesmos critérios às demais pessoas jurídicas evidencia desequiparação desprovida de qualquer fundamento constitucional idôneo.     11. Os critérios normativos vigentes relativos à doação a campanhas eleitorais feitas por pessoas naturais, bem como o uso próprio de recursos pelos próprios candidatos, não vulneram os princípios fundamentais democrático, republicano e da igualdade política.     12. O Conselho Federal da Ordem dos Advogados do Brasil ostenta legitimidade ad causam universal para deflagrar o processo de controle concentrado de constitucionalidade, ex vi do art. 103, VII, da Constituição da República, prescindindo, assim, da demonstração de pertinência temática para com o conteúdo material do ato normativo impugnado.    13. As disposições normativas adversadas constantes das Leis nº 9.096/95 e nº 9.504/97 revelam-se aptas a figurar como objeto no controle concentrado de constitucionalidade, porquanto primárias, gerais, autônomas e abstratas.    14. A “possibilidade jurídica do pedido”, a despeito das dificuldades teóricas de pertinência técnica (i.e., a natureza de exame que ela envolve se confunde, na maior parte das vezes, com o próprio mérito da pretensão) requer apenas que a pretensão deduzida pelo autor não seja expressamente vedada pela ordem jurídica. Consectariamente, um pedido juridicamente impossível é uma postulação categoricamente vedada pela ordem jurídica. (ARAGÃO, Egas Dirceu Moniz de. Comentários ao Código de Processo Civil. 10ª ed. Rio de Janeiro: Forense, p. 394).    15. In casu,     a) Os pedidos constantes dos itens “e.1” e “e.2”, primeira parte, objetivam apenas e tão somente que o Tribunal se limite a retirar do âmbito de incidência das normas impugnadas a aplicação reputada como inconstitucional, sem, com isso, proceder à alteração de seu programa normativo.     b) Trata-se, a toda evidência, de pedido de declaração de inconstitucionalidade parcial sem redução de texto, cuja existência e possibilidade são reconhecidas pela dogmática constitucional brasileira, pela própria legislação de regência das ações diretas (art. 28, § único, Lei nº 9.868/99) e, ainda, pela práxis deste Supremo Tribunal Federal (ver, por todos, ADI nº 491/AM, Rel. Min. Moreira Alves, Tribunal Pleno, DJ 25.10.1991).    c) Destarte, os pedidos constantes dos itens “e.1” e “e.2” são comuns e naturais em qualquer processo de controle abstrato de constitucionalidade, razão por que a exordial não veicula qualquer pretensão expressamente vedada pela ordem jurídica.     d) O pedido aduzido no item “e.5” não revela qualquer impossibilidade que nos autorize a, de plano, reconhecer sua inviabilidade, máxime porque o Requerente simplesmente postula que a Corte profira uma “sentença aditiva de princípio” ou “sentença-delegação”, técnica de decisão comumente empregada em Cortes Constitucionais algures, notadamente a italiana, de ordem a instar o legislador a disciplinar a matéria, bem assim a delinear, concomitantemente, diretrizes que devem ser por ele observadas quando da elaboração da norma, exsurgindo como método decisório necessário em casos em que o debate é travado nos limites do direito posto e do direito a ser criado.    16. Ademais, a atuação normativa do Tribunal Superior Eleitoral seria apenas subsidiária e excepcional, somente se legitimando em caso de inertia deliberandi do Congresso Nacional para regular a matéria após o transcurso de prazo razoável (in casu, de dezoito meses), incapaz, bem por isso, de afastar a prerrogativa de o Parlamento, quando e se quisesse, instituir uma nova disciplina de financiamento de campanhas, em razão de a temática encerrar uma preferência de lei.    17. A preliminar de inadequação da via eleita não merece acolhida, visto que todas as impugnações veiculadas pelo Requerente (i.e., autorização por doações por pessoas jurídicas ou fixação de limites às doações por pessoas naturais) evidenciam que o ultraje à Lei Fundamental é comissivo, e não omissivo.    18. A cumulação simples de pedidos típicos de ADI e de ADI por omissão é processualmente cabível em uma única demanda de controle concentrado de constitucionalidade, desde que satisfeitos os requisitos previstos na legislação processual civil (CPC, art. 292).    19. Ação direta de inconstitucionalidade julgada parcialmente procedente para assentar apenas e tão somente a inconstitucionalidade parcial sem redução de texto do art. 31 da Lei nº 9.096/95, na parte em que autoriza, a contrario sensu, a realização de doações por pessoas jurídicas a partidos políticos, e pela declaração de inconstitucionalidade das expressões “ou pessoa jurídica”, constante no art. 38, inciso III, e “e jurídicas”, inserta no art. 39, caput e § 5º, todos os preceitos da Lei nº 9.096/95.","eleicao"
